gene_id,gene_name,n_alu_plus,n_alu_minus,te_median_alu_plus,te_median_alu_minus,diff
ENSG00000088832,FKBP1A,1,11,1.88239,0.475544,1.40685
ENSG00000088986,DYNLL1,1,9,3.02996,1.29908,1.73088
ENSG00000089022,MAPKAPK5,1,4,0.783269,0.349024,0.434245
ENSG00000089053,ANAPC5,1,6,0.999337,1.24514,-0.245807
ENSG00000089063,TMEM230,3,7,0.419578,0.39749,0.022088
ENSG00000089094,KDM2B,1,7,0.991952,0.502962,0.48899
ENSG00000089280,FUS,1,3,3.4225,3.35166,0.070845
ENSG00000089327,FXYD5,1,10,4.09654,2.99811,1.09842
ENSG00000089486,CDIP1,1,12,1.65359,0.875857,0.77773
ENSG00000089597,GANAB,1,9,1.63583,1.62182,0.014011
ENSG00000089682,RBM41,4,1,3.5002,2.88266,0.617537
ENSG00000089685,BIRC5,4,5,1.54697,1.63343,-0.0864585
ENSG00000089737,DDX24,1,2,3.52196,1.75957,1.76239
ENSG00000089775,ZBTB25,2,2,1.34826,1.04265,0.305614
ENSG00000089818,NECAP1,1,12,3.94453,4.11998,-0.175456
ENSG00000089916,GPATCH2L,2,9,1.85391,1.42776,0.426148
ENSG00000090013,BLVRB,1,4,2.17325,2.59105,-0.417794
ENSG00000090020,SLC9A1,1,2,0.460023,0.699311,-0.239288
ENSG00000090054,SPTLC1,4,8,3.7845,5.82018,-2.03568
ENSG00000090060,PAPOLA,1,7,4.20772,1.65957,2.54816
ENSG00000090263,MRPS33,1,4,14.8663,3.54161,11.3247
ENSG00000090266,NDUFB2,3,9,5.93943,5.12569,0.813739
ENSG00000090273,NUDC,1,2,2.81783,0.972045,1.84578
ENSG00000090372,STRN4,2,10,0.774403,0.602308,0.172095
ENSG00000090470,PDCD7,1,1,0.713753,0.523214,0.190539
ENSG00000090487,SPG21,4,7,1.48645,0.895076,0.591378
ENSG00000090581,GNPTG,1,5,0.661174,1.92435,-1.26317
ENSG00000090612,ZNF268,1,2,1.07877,2.61349,-1.53471
ENSG00000090615,GOLGA3,8,11,0.285355,0.58296,-0.297605
ENSG00000090621,PABPC4,1,16,1.42032,1.64492,-0.224601
ENSG00000090861,AARS1,1,26,1.91814,2.22264,-0.304499
ENSG00000090863,GLG1,2,6,1.67395,0.977923,0.696026
ENSG00000091127,PUS7,3,1,1.90363,0.890038,1.01359
ENSG00000091164,TXNL1,2,5,12.2883,3.39076,8.89756
ENSG00000091436,MAP3K20,2,3,1.43514,1.423,0.0121315
ENSG00000091651,ORC6,2,2,4.34178,2.35554,1.98623
ENSG00000092094,OSGEP,1,2,7.33533,2.33964,4.99568
ENSG00000092140,G2E3,2,8,1.98341,2.07085,-0.0874465
ENSG00000092148,HECTD1,1,10,0.900798,1.83415,-0.933351
ENSG00000092199,HNRNPC,2,24,0.718923,0.56574,0.153183
ENSG00000092203,TOX4,3,6,1.83751,0.685777,1.15173
ENSG00000092208,GEMIN2,2,7,1.64513,1.65857,-0.0134355
ENSG00000092439,TRPM7,3,1,0.528342,0.453739,0.074603
ENSG00000092445,TYRO3,1,3,0.518923,0.29304,0.225883
ENSG00000092470,WDR76,2,1,1.72575,1.10013,0.625621
ENSG00000092531,SNAP23,2,15,7.20186,3.37321,3.82865
ENSG00000092621,PHGDH,2,19,3.87927,1.85997,2.0193
ENSG00000092847,AGO1,2,6,0.314634,0.458774,-0.144141
ENSG00000092853,CLSPN,2,2,2.01547,2.05517,-0.0397065
ENSG00000092931,MFSD11,4,10,0.96746,0.750204,0.217256
ENSG00000092978,GPATCH2,1,1,3.31536,2.69152,0.62384
ENSG00000093000,NUP50,1,10,0.464312,0.402086,0.062226
ENSG00000093010,COMT,2,12,2.41869,1.84777,0.570924
ENSG00000093144,ECHDC1,1,18,6.32654,3.47429,2.85226
ENSG00000093183,SEC22C,6,7,1.01636,1.00348,0.012884
ENSG00000093217,XYLB,2,3,1.66385,1.26583,0.398014
ENSG00000094804,CDC6,1,4,2.73284,1.30605,1.42679
ENSG00000094841,UPRT,1,5,2.93007,1.94848,0.981587
ENSG00000094916,CBX5,1,3,0.880148,3.76235,-2.8822
ENSG00000095002,MSH2,3,5,5.16184,3.44777,1.71407
ENSG00000095059,DHPS,2,13,1.97539,1.79238,0.183007
ENSG00000095139,ARCN1,2,2,2.16004,1.79774,0.362296
ENSG00000095209,TMEM38B,1,4,1.88119,2.50217,-0.620985
ENSG00000095485,CWF19L1,3,1,2.66224,2.33962,0.322611
ENSG00000095787,WAC,8,15,1.85827,1.3407,0.517578
ENSG00000095906,NUBP2,2,7,1.38992,0.886324,0.503598
ENSG00000096060,FKBP5,1,3,7.29298,1.66701,5.62597
ENSG00000096063,SRPK1,2,6,2.22145,2.39318,-0.171732
ENSG00000097033,SH3GLB1,3,1,2.92863,1.70352,1.22511
ENSG00000099246,RAB18,2,20,6.94877,4.67132,2.27745
ENSG00000099284,MACROH2A2,3,21,2.72936,1.77167,0.957689
ENSG00000099341,PSMD8,5,5,2.43812,1.74446,0.693665
ENSG00000099385,BCL7C,1,3,0.418656,0.517936,-0.09928
ENSG00000099622,CIRBP,1,33,5.49073,1.24323,4.2475
ENSG00000099810,MTAP,2,5,6.06381,2.72164,3.34217
ENSG00000099817,POLR2E,1,8,1.59058,1.16797,0.422603
ENSG00000099917,MED15,3,15,1.32089,1.50393,-0.183041
ENSG00000099940,SNAP29,1,1,2.05575,2.16891,-0.113158
ENSG00000099942,CRKL,1,1,0.855341,1.17384,-0.318497
ENSG00000099968,BCL2L13,1,10,1.99603,2.01551,-0.0194785
ENSG00000099992,TBC1D10A,1,3,1.20427,1.22405,-0.019786
ENSG00000099999,RNF215,1,3,0.637002,0.699654,-0.062652
ENSG00000100014,SPECC1L,1,5,0.679065,0.736299,-0.057234
ENSG00000100023,PPIL2,9,4,1.87586,2.18544,-0.309582
ENSG00000100034,PPM1F,1,4,1.80021,0.785623,1.01459
ENSG00000100077,GRK3,1,1,0.41739,0.256369,0.161021
ENSG00000100083,GGA1,1,14,2.04646,1.17216,0.874298
ENSG00000100116,GCAT,1,4,0.828505,0.569009,0.259496
ENSG00000100124,ANKRD54,1,8,0.705549,0.858475,-0.152926
ENSG00000100129,EIF3L,4,6,1.91551,1.37065,0.544867
ENSG00000100139,MICALL1,1,8,0.181397,0.263429,-0.0820315
ENSG00000100142,POLR2F,2,8,4.01808,1.87624,2.14184
ENSG00000100154,TTC28,2,2,0.511898,0.557681,-0.045784
ENSG00000100209,HSCB,3,1,2.40005,1.93712,0.462927
ENSG00000100221,JOSD1,2,5,0.310007,0.400761,-0.0907545
ENSG00000100226,GTPBP1,1,6,1.0174,1.06186,-0.0444565
ENSG00000100228,RAB36,1,2,0.777076,1.11324,-0.336163
ENSG00000100243,CYB5R3,4,17,2.86189,1.89505,0.966835
ENSG00000100263,RHBDD3,1,3,0.287873,0.399185,-0.111312
ENSG00000100266,PACSIN2,1,10,0.280237,1.31991,-1.03968
ENSG00000100284,TOM1,1,12,0.827845,1.51491,-0.687064
ENSG00000100296,THOC5,1,11,0.966823,1.36489,-0.398066
ENSG00000100320,RBFOX2,1,17,0.384947,0.95151,-0.566563
ENSG00000100335,MIEF1,1,5,0.267272,0.39216,-0.124888
ENSG00000100344,PNPLA3,1,2,0.916616,0.734832,0.181783
ENSG00000100348,TXN2,1,3,1.40216,1.28458,0.117583
ENSG00000100350,FOXRED2,12,2,0.463312,0.367258,0.0960545
ENSG00000100353,EIF3D,1,6,1.49918,2.44116,-0.941979
ENSG00000100354,TNRC6B,4,1,0.667984,0.720403,-0.052419
ENSG00000100364,KIAA0930,2,6,0.27028,0.34204,-0.0717595
ENSG00000100372,SLC25A17,2,12,4.25003,1.89536,2.35467
ENSG00000100376,FAM118A,4,1,1.06812,0.619957,0.448159
ENSG00000100401,RANGAP1,3,4,1.42409,1.22124,0.202858
ENSG00000100412,ACO2,5,14,0.720405,1.03797,-0.317566
ENSG00000100416,TRMU,1,11,1.12761,1.62616,-0.498549
ENSG00000100422,CERK,1,1,0.399384,0.34251,0.056874
ENSG00000100442,FKBP3,1,2,1.87745,9.27037,-7.39292
ENSG00000100461,RBM23,8,11,2.83686,1.57624,1.26062
ENSG00000100490,CDKL1,2,2,2.11133,0.991329,1.12
ENSG00000100522,GNPNAT1,3,1,1.85881,1.91768,-0.058868
ENSG00000100523,DDHD1,1,5,1.16705,0.895538,0.271509
ENSG00000100532,CGRRF1,1,3,1.86483,2.04287,-0.178045
ENSG00000100554,ATP6V1D,3,8,5.67837,2.71238,2.96599
ENSG00000100564,PIGH,2,8,0.43213,0.376714,0.055417
ENSG00000100568,VTI1B,1,4,0.688332,0.393126,0.295207
ENSG00000100591,AHSA1,2,5,3.72767,3.00592,0.72175
ENSG00000100596,SPTLC2,1,2,4.99076,2.3937,2.59706
ENSG00000100600,LGMN,6,8,2.28988,1.56956,0.720319
ENSG00000100605,ITPK1,2,6,0.843871,0.39663,0.44724
ENSG00000100612,DHRS7,3,4,4.20523,2.03975,2.16548
ENSG00000100625,SIX4,1,1,1.00696,0.786388,0.220569
ENSG00000100629,CEP128,1,8,1.01629,1.18286,-0.166569
ENSG00000100650,SRSF5,1,8,12.1125,4.0151,8.09739
ENSG00000100714,MTHFD1,4,14,2.51205,1.86311,0.648944
ENSG00000100722,ZC3H14,2,20,4.3289,1.93573,2.39317
ENSG00000100744,GSKIP,1,5,4.53212,3.42692,1.1052
ENSG00000100749,VRK1,3,23,3.19182,3.00455,0.187274
ENSG00000100811,YY1,1,4,2.23744,1.96369,0.273748
ENSG00000100815,TRIP11,1,3,3.94383,2.89644,1.04739
ENSG00000100865,CINP,2,4,2.81035,1.36835,1.442
ENSG00000100888,CHD8,1,12,0.719975,0.67927,0.040705
ENSG00000100897,DCAF11,1,10,0.608961,0.557986,0.050975
ENSG00000100902,PSMA6,2,11,1.18029,1.66725,-0.486952
ENSG00000100934,SEC23A,3,8,3.00272,2.09135,0.911374
ENSG00000100983,GSS,1,15,3.13509,2.44051,0.694579
ENSG00000101000,PROCR,1,2,4.15208,1.76417,2.38791
ENSG00000101003,GINS1,15,2,3.46419,2.7941,0.670091
ENSG00000101019,UQCC1,2,12,0.933234,1.83382,-0.900586
ENSG00000101079,NDRG3,3,2,2.23037,1.84369,0.386685
ENSG00000101109,STK4,4,3,1.39557,2.26427,-0.868698
ENSG00000101126,ADNP,1,7,1.1159,0.968322,0.14758
ENSG00000101138,CSTF1,1,5,3.29951,2.30141,0.9981
ENSG00000101144,BMP7,1,3,0.484523,0.60706,-0.122537
ENSG00000101181,MTG2,2,1,1.33078,1.22127,0.109503
ENSG00000101190,TCFL5,1,1,0.09737,0.095312,0.002058
ENSG00000101199,ARFGAP1,1,13,1.10176,1.16239,-0.060627
ENSG00000101210,EEF1A2,1,5,1.5759,1.4785,0.097404
ENSG00000101236,RNF24,2,2,1.4876,1.10798,0.379621
ENSG00000101266,CSNK2A1,6,12,0.620592,0.497625,0.122968
ENSG00000101294,HM13,1,9,2.83475,2.41485,0.4199
ENSG00000101310,SEC23B,1,9,2.58596,1.77423,0.811735
ENSG00000101347,SAMHD1,10,11,2.72204,2.88451,-0.162472
ENSG00000101363,MANBAL,3,2,1.44616,1.14628,0.299873
ENSG00000101407,TTI1,1,2,0.957873,1.03024,-0.0723645
ENSG00000101417,PXMP4,1,2,2.34985,1.52787,0.821978
ENSG00000101439,CST3,1,2,3.84513,0.82708,3.01805
ENSG00000101557,USP14,3,4,5.97235,3.54229,2.43005
ENSG00000101558,VAPA,1,2,7.08556,3.40371,3.68185
ENSG00000101596,SMCHD1,5,4,3.77842,3.5642,0.214221
ENSG00000101608,MYL12A,1,6,3.86176,2.21188,1.64989
ENSG00000101639,CEP192,1,9,1.11411,1.10768,0.006424
ENSG00000101782,RIOK3,2,3,3.52093,3.07936,0.441574
ENSG00000101868,POLA1,1,3,1.77104,3.66237,-1.89133
ENSG00000101871,MID1,1,13,1.07515,1.04381,0.031343
ENSG00000101882,NKAP,1,1,6.06165,2.41872,3.64293
ENSG00000101901,ALG13,1,26,3.0652,2.19376,0.871434
ENSG00000101940,WDR13,1,5,1.36539,0.413701,0.951687
ENSG00000101966,XIAP,3,1,0.882431,1.3841,-0.501674
ENSG00000101972,STAG2,1,15,4.08116,3.36597,0.715187
ENSG00000102024,PLS3,3,5,3.17246,4.08376,-0.911306
ENSG00000102034,ELF4,1,2,0.825072,0.639255,0.185817
ENSG00000102078,SLC25A14,2,5,1.35413,1.42323,-0.0690995
ENSG00000102098,SCML2,3,1,2.42115,1.81944,0.601702
ENSG00000102103,PQBP1,1,12,5.86271,1.82623,4.03648
ENSG00000102144,PGK1,1,1,5.86712,3.23461,2.63251
ENSG00000102158,MAGT1,10,1,2.34933,1.8926,0.45673
ENSG00000102230,PCYT1B,2,2,0.848988,0.807625,0.041363
ENSG00000102309,PIN4,1,7,3.78341,3.23999,0.543415
ENSG00000102317,RBM3,2,1,6.68523,6.1813,0.50393
ENSG00000102384,CENPI,6,2,1.90492,1.416,0.488922
ENSG00000102393,GLA,1,10,3.31434,2.69942,0.614921
ENSG00000102531,FNDC3A,1,5,1.66341,1.62574,0.037668
ENSG00000102572,STK24,2,4,2.8787,1.33433,1.54437
ENSG00000102580,DNAJC3,1,1,1.34847,1.54618,-0.197703
ENSG00000102743,SLC25A15,1,2,0.499141,0.537643,-0.0385015
ENSG00000102780,DGKH,3,3,0.543304,0.877915,-0.334611
ENSG00000102781,KATNAL1,1,3,0.594885,0.666274,-0.071389
ENSG00000102805,CLN5,3,5,0.773738,1.3448,-0.571061
ENSG00000102858,MGRN1,3,7,0.656392,0.548956,0.107436
ENSG00000102893,PHKB,6,6,1.08583,0.939667,0.146161
ENSG00000102898,NUTF2,2,11,4.82706,3.84071,0.986347
ENSG00000102900,NUP93,3,13,4.56594,1.58512,2.98082
ENSG00000102901,CENPT,1,11,3.38015,1.66219,1.71796
ENSG00000102908,NFAT5,6,5,2.10054,1.61574,0.484797
ENSG00000102910,LONP2,1,5,1.21004,1.47149,-0.261449
ENSG00000102967,DHODH,2,3,2.98179,2.32177,0.660027
ENSG00000102974,CTCF,6,5,1.38325,1.40904,-0.0257895
ENSG00000102978,POLR2C,1,1,6.50529,2.85209,3.6532
ENSG00000103021,CFAP263,2,2,1.46814,1.83154,-0.363394
ENSG00000103035,PSMD7,1,3,1.25056,3.53845,-2.28788
ENSG00000103037,SETD6,1,5,1.0793,1.3341,-0.254799
ENSG00000103042,SLC38A7,3,5,0.522029,0.747593,-0.225564
ENSG00000103051,COG4,2,15,1.99332,1.70042,0.292895
ENSG00000103064,SLC7A6,6,8,0.756481,0.874955,-0.118474
ENSG00000103066,PLA2G15,1,6,0.722796,1.06928,-0.34648
ENSG00000103091,WDR59,2,6,1.19508,0.944865,0.250217
ENSG00000103111,MON1B,1,7,0.406048,0.620167,-0.214119
ENSG00000103121,CMC2,7,8,3.28842,5.96238,-2.67396
ENSG00000103148,NPRL3,2,8,1.11936,0.862857,0.256503
ENSG00000103160,HSDL1,1,4,2.79735,1.79055,1.0068
ENSG00000103174,NAGPA,2,5,0.734376,0.88331,-0.148934
ENSG00000103187,COTL1,1,2,3.4471,1.37131,2.07579
ENSG00000103194,USP10,1,10,0.905293,0.795542,0.109752
ENSG00000103197,TSC2,3,24,0.865935,0.810699,0.055236
ENSG00000103199,ZNF500,4,3,0.673487,0.468058,0.205429
ENSG00000103202,NME4,3,7,0.387,0.27792,0.10908
ENSG00000103264,FBXO31,2,2,0.888508,0.519169,0.369339
ENSG00000103275,UBE2I,1,11,6.35492,6.1276,0.227318
ENSG00000103319,EEF2K,1,1,0.628477,0.784585,-0.156108
ENSG00000103342,GSPT1,1,6,1.74077,1.32512,0.415655
ENSG00000103351,CLUAP1,2,8,5.19076,4.12251,1.06825
ENSG00000103356,EARS2,3,4,1.09125,1.3155,-0.224253
ENSG00000103363,ELOB,2,6,7.8307,2.0067,5.824
ENSG00000103365,GGA2,2,7,2.16656,0.764827,1.40173
ENSG00000103381,CPPED1,1,2,4.80802,2.26363,2.54439
ENSG00000103415,HMOX2,5,12,1.45605,1.45992,-0.0038695
ENSG00000103423,DNAJA3,1,6,0.637314,1.22616,-0.588844
ENSG00000103429,BFAR,2,7,1.35144,1.04931,0.302131
ENSG00000103485,QPRT,1,2,1.65357,1.53454,0.119029
ENSG00000103510,KAT8,2,3,1.87309,1.23738,0.635714
ENSG00000103540,CCP110,4,3,1.21511,0.800692,0.414418
ENSG00000103544,VPS35L,3,8,0.784156,1.1353,-0.351145
ENSG00000103550,KNOP1,1,3,1.4607,2.60595,-1.14525
ENSG00000103642,LACTB,1,2,3.40421,2.87881,0.525405
ENSG00000103657,HERC1,1,7,1.55243,0.678591,0.873837
ENSG00000103707,MTFMT,2,2,1.59542,1.04184,0.553579
ENSG00000103769,RAB11A,1,5,4.74385,2.97629,1.76756
ENSG00000103852,TTC23,4,3,0.853646,0.88114,-0.0274945
ENSG00000103855,CD276,2,14,0.545812,0.408663,0.137149
ENSG00000103932,RPAP1,1,5,0.938564,0.688005,0.250559
ENSG00000103942,HOMER2,1,3,3.64391,0.305893,3.33802
ENSG00000103978,TMEM87A,1,9,5.26988,2.71468,2.55521
ENSG00000103994,ZNF106,6,3,0.671451,0.772286,-0.100835
ENSG00000103995,CEP152,2,3,2.12156,2.35606,-0.234498
ENSG00000104064,GABPB1,2,8,1.91542,1.86639,0.049038
ENSG00000104129,DNAJC17,1,5,8.01235,1.64484,6.36751
ENSG00000104142,VPS18,1,2,0.469473,0.751606,-0.282133
ENSG00000104164,BLOC1S6,5,10,0.794572,1.61394,-0.819373
ENSG00000104221,BRF2,1,3,1.22971,0.767333,0.462378
ENSG00000104290,FZD3,2,1,1.22312,0.33916,0.883956
ENSG00000104331,BPNT2,2,1,1.2789,0.728475,0.550425
ENSG00000104341,LAPTM4B,2,2,1.69423,2.00132,-0.307095
ENSG00000104343,UBE2W,4,5,2.48244,1.81805,0.664383
ENSG00000104408,EIF3E,4,1,5.33623,19.2782,-13.942
ENSG00000104412,EMC2,1,2,24.5592,7.1593,17.3999
ENSG00000104472,CHRAC1,2,2,1.08273,2.37614,-1.29341
ENSG00000104524,PYCR3,1,4,1.05596,1.15337,-0.0974145
ENSG00000104529,EEF1D,5,23,1.2441,5.85506,-4.61096
ENSG00000104626,ERI1,1,3,3.07507,1.982,1.09307
ENSG00000104635,SLC39A14,1,10,2.08207,1.26285,0.819214
ENSG00000104643,MTMR9,1,2,1.49237,1.65281,-0.160444
ENSG00000104660,LEPROTL1,2,7,1.41704,2.00113,-0.584091
ENSG00000104671,DCTN6,2,3,4.31842,4.31168,0.006741
ENSG00000104687,GSR,2,4,0.738372,1.22724,-0.488872
ENSG00000104695,PPP2CB,2,4,1.69226,1.11974,0.572521
ENSG00000104731,KLHDC4,2,8,0.881546,1.23848,-0.356936
ENSG00000104738,MCM4,5,9,2.66791,2.66513,0.002783
ENSG00000104774,MAN2B1,1,5,0.649271,0.60032,0.048951
ENSG00000104812,GYS1,1,2,0.751205,0.927334,-0.176129
ENSG00000104825,NFKBIB,2,4,1.49203,0.771556,0.720469
ENSG00000104833,TUBB4A,2,10,1.02623,1.08723,-0.0610065
ENSG00000104835,SARS2,1,7,1.41867,1.27127,0.147395
ENSG00000104883,PEX11G,1,2,1.01317,1.11421,-0.101042
ENSG00000104884,ERCC2,4,8,1.27666,1.24905,0.0276105
ENSG00000104886,PLEKHJ1,5,1,1.27127,0.522557,0.748717
ENSG00000104889,RNASEH2A,1,2,4.22015,3.73257,0.487586
ENSG00000104946,TBC1D17,1,4,0.50666,0.500949,0.0057105
ENSG00000104957,YJU2B,1,5,1.23342,1.11791,0.115509
ENSG00000104979,C19orf53,2,4,3.87305,4.16612,-0.293063
ENSG00000104980,TIMM44,1,4,1.34058,2.19711,-0.856524
ENSG00000105011,ASF1B,1,4,1.94233,1.22129,0.721048
ENSG00000105053,VRK3,1,17,0.945094,0.947207,-0.002113
ENSG00000105058,FAM32A,1,4,1.85921,0.885514,0.973694
ENSG00000105176,URI1,1,8,0.830084,0.828167,0.0019165
ENSG00000105197,TIMM50,4,8,2.33314,0.935956,1.39718
ENSG00000105220,GPI,7,7,2.45673,1.57458,0.882147
ENSG00000105221,AKT2,3,26,0.441267,0.394367,0.0468995
ENSG00000105223,PLD3,3,23,1.30282,1.24561,0.05721
ENSG00000105245,NUMBL,1,6,0.494523,0.450754,0.043769
ENSG00000105248,YJU2,1,1,1.19503,1.08514,0.109889
ENSG00000105254,TBCB,3,5,1.72717,1.84951,-0.12234
ENSG00000105323,HNRNPUL1,2,15,0.698487,0.492631,0.205856
ENSG00000105329,TGFB1,1,2,0.634595,0.481349,0.153246
ENSG00000105355,PLIN3,3,4,1.33379,1.03954,0.294252
ENSG00000105364,MRPL4,2,7,1.08499,1.08648,-0.0014925
ENSG00000105372,RPS19,2,5,2.49893,0.93442,1.56451
ENSG00000105393,BABAM1,3,12,0.526917,0.513354,0.013563
ENSG00000105401,CDC37,1,5,1.33877,1.86714,-0.528369
ENSG00000105443,CYTH2,2,5,1.10592,0.704215,0.401703
ENSG00000105447,GRWD1,1,1,1.63718,0.75624,0.880945
ENSG00000105486,LIG1,2,16,1.85286,1.71483,0.138029
ENSG00000105497,ZNF175,1,3,1.82191,1.27388,0.548039
ENSG00000105514,RAB3D,1,1,1.23961,1.22592,0.013689
ENSG00000105516,DBP,1,3,0.846751,0.848763,-0.002012
ENSG00000105568,PPP2R1A,3,3,2.20045,1.54067,0.659778
ENSG00000105607,GCDH,2,7,1.87668,1.71308,0.163599
ENSG00000105662,CRTC1,2,2,1.23969,0.566806,0.672889
ENSG00000105676,ARMC6,7,13,1.15742,1.27625,-0.118822
ENSG00000105700,KXD1,4,12,1.36222,0.608893,0.753331
ENSG00000105705,SUGP1,2,6,2.87007,1.44691,1.42316
ENSG00000105723,GSK3A,5,32,0.330064,0.528862,-0.198798
ENSG00000105732,ZNF574,1,3,0.519141,0.599375,-0.080234
ENSG00000105738,SIPA1L3,1,2,0.15974,0.18526,-0.0255205
ENSG00000105771,SMG9,1,7,3.44891,1.47684,1.97207
ENSG00000105793,GTPBP10,4,5,4.37688,2.37988,1.99701
ENSG00000105821,DNAJC2,1,5,9.64856,3.51848,6.13008
ENSG00000105856,HBP1,3,5,1.74447,1.82512,-0.080651
ENSG00000105866,SP4,3,1,1.73405,1.40571,0.328338
ENSG00000105926,PALS2,2,5,1.57358,0.933221,0.640355
ENSG00000105948,IFT56,2,5,1.91465,2.47451,-0.559866
ENSG00000105953,OGDH,1,6,1.02475,0.678597,0.346151
ENSG00000105968,H2AZ2,3,5,1.72003,1.08127,0.63876
ENSG00000105971,CAV2,1,1,1.50362,1.83843,-0.33481
ENSG00000105976,MET,3,3,0.800758,0.581715,0.219043
ENSG00000105983,LMBR1,1,7,0.798368,0.963612,-0.165244
ENSG00000105993,DNAJB6,1,8,0.802382,0.51146,0.290922
ENSG00000106066,CPVL,1,10,4.29724,3.60829,0.688955
ENSG00000106077,ABHD11,5,3,2.04441,1.40819,0.636224
ENSG00000106080,FKBP14,1,2,4.68694,4.88259,-0.195654
ENSG00000106105,GARS1,1,20,1.35026,2.91758,-1.56732
ENSG00000106144,CASP2,2,2,2.06983,1.18681,0.883015
ENSG00000106211,HSPB1,1,8,2.5474,1.21131,1.33609
ENSG00000106244,PDAP1,1,2,1.32717,0.533941,0.793227
ENSG00000106245,BUD31,1,3,3.94703,3.30021,0.646816
ENSG00000106261,ZKSCAN1,4,1,1.20662,1.8353,-0.628682
ENSG00000106266,SNX8,1,5,0.537871,0.995551,-0.45768
ENSG00000106290,TAF6,1,1,0.599162,1.02929,-0.430127
ENSG00000106305,AIMP2,2,2,2.08247,2.10097,-0.018499
ENSG00000106344,RBM28,1,4,2.88453,1.83051,1.05402
ENSG00000106346,USP42,2,4,0.832686,0.917582,-0.084895
ENSG00000106355,LSM5,1,7,3.62614,4.56448,-0.938346
ENSG00000106392,C1GALT1,1,3,1.01997,1.00569,0.014285
ENSG00000106397,PLOD3,1,6,0.813877,1.18501,-0.371133
ENSG00000106459,NRF1,1,5,1.13743,1.14961,-0.012182
ENSG00000106460,TMEM106B,3,2,11.4588,7.18956,4.2692
ENSG00000106462,EZH2,1,11,1.71287,2.06875,-0.355881
ENSG00000106603,COA1,1,11,1.49911,1.71741,-0.218296
ENSG00000106605,BLVRA,1,2,3.53008,2.89912,0.630963
ENSG00000106608,URGCP,1,7,1.06202,0.776156,0.285868
ENSG00000106609,TMEM248,1,5,0.857865,0.735134,0.122731
ENSG00000106628,POLD2,1,27,0.589614,0.672625,-0.083011
ENSG00000106635,BCL7B,2,3,1.16797,1.57523,-0.40726
ENSG00000106638,TBL2,2,10,2.5022,2.64139,-0.139191
ENSG00000106682,EIF4H,2,8,0.99002,0.590925,0.399096
ENSG00000106771,TMEM245,1,2,0.54623,0.742538,-0.196308
ENSG00000106785,TRIM14,2,2,0.314325,0.376439,-0.0621145
ENSG00000106853,PTGR1,1,5,4.01779,3.18813,0.829656
ENSG00000106992,AK1,1,4,4.3391,3.00137,1.33773
ENSG00000107077,KDM4C,1,2,0.944915,1.04859,-0.103674
ENSG00000107164,FUBP3,1,2,1.51476,3.31475,-1.79998
ENSG00000107262,BAG1,2,4,1.89009,0.243719,1.64637
ENSG00000107362,ABHD17B,1,1,2.40535,2.88682,-0.481468
ENSG00000107371,EXOSC3,3,2,6.61389,2.70207,3.91182
ENSG00000107372,ZFAND5,2,3,1.75439,1.51016,0.244231
ENSG00000107651,SEC23IP,1,2,3.08961,1.61933,1.47028
ENSG00000107672,NSMCE4A,1,1,4.21178,5.4461,-1.23432
ENSG00000107679,PLEKHA1,4,2,1.18881,1.483,-0.294187
ENSG00000107745,MICU1,1,8,1.45199,1.38461,0.067386
ENSG00000107771,CCSER2,2,4,0.840522,0.552901,0.287621
ENSG00000107862,GBF1,3,85,1.01505,0.945888,0.069164
ENSG00000107937,GTPBP4,1,1,7.02574,3.62944,3.3963
ENSG00000107938,EDRF1,1,7,1.69605,2.08943,-0.393378
ENSG00000107951,MTPAP,1,2,5.27232,1.81433,3.45799
ENSG00000107959,PITRM1,1,21,0.690514,1.76093,-1.07041
ENSG00000108010,GLRX3,2,1,3.24956,1.41127,1.83829
ENSG00000108021,TASOR2,1,13,0.811943,0.752882,0.059061
ENSG00000108064,TFAM,1,2,4.04886,3.05187,0.996995
ENSG00000108094,CUL2,4,21,2.27068,2.90126,-0.630578
ENSG00000108100,CCNY,3,3,0.569847,0.700956,-0.131109
ENSG00000108106,UBE2S,1,2,0.23128,0.0759285,0.155352
ENSG00000108107,RPL28,1,8,9.1884,1.74894,7.43946
ENSG00000108176,DNAJC12,1,4,2.38318,3.3237,-0.940524
ENSG00000108187,PBLD,4,1,1.89105,1.26942,0.621635
ENSG00000108219,TSPAN14,4,3,1.32441,0.792372,0.532034
ENSG00000108256,NUFIP2,1,1,2.37958,1.04015,1.33943
ENSG00000108298,RPL19,4,5,42.146,52.8675,-10.7215
ENSG00000108306,FBXL20,2,4,0.454792,0.50374,-0.048948
ENSG00000108384,RAD51C,7,16,5.02277,4.83636,0.186412
ENSG00000108389,MTMR4,1,5,0.832988,0.513882,0.319106
ENSG00000108423,TUBD1,7,5,1.89019,1.86539,0.024794
ENSG00000108424,KPNB1,1,7,2.15774,2.2729,-0.115154
ENSG00000108433,GOSR2,9,21,0.789052,0.866184,-0.077132
ENSG00000108439,PNPO,5,7,1.94298,2.81597,-0.872999
ENSG00000108443,RPS6KB1,1,6,2.39623,1.00534,1.39089
ENSG00000108468,CBX1,1,5,1.32564,0.938777,0.386862
ENSG00000108469,RECQL5,1,10,1.55864,0.82445,0.734191
ENSG00000108479,GALK1,1,4,1.98391,1.56797,0.415938
