comparison,n_genes,median_delta_u1c0t0,median_delta_u0c0t1,median_expected_additive,median_actual_u1c0t1,median_synergy,mean_synergy,sem_synergy,Wilcoxon_pval_synergy,n_synergy_positive,n_synergy_negative,pct_synergy_positive,median_delta_singles,median_actual_combined
u1_c0_t1 vs (u1_c0_t0 + u0_c0_t1),13,0.0444,0.0485,0.1505,-0.0719,-0.0089,-0.0214,0.1913,0.839355,6,7,46.2,,
u0_c1_t1 vs sum of singles,22,,,-0.407,,0.0925,0.1639,0.2145,0.799034,12,10,54.5,-0.5655+-0.1654,-0.3233
