gene_id,gene_name,n_alu_plus,n_alu_minus,te_median_alu_plus,te_median_alu_minus,diff,pct_change
ENSG00000025293,PHF20,3,3,1.95861,1.75569,0.202923,11.558
ENSG00000025796,SEC63,2,1,3.90954,3.28388,0.625655,19.0523
ENSG00000025800,KPNA6,1,2,1.36392,1.57136,-0.207437,-13.2011
ENSG00000028116,VRK2,2,6,5.09269,3.41955,1.67314,48.9286
ENSG00000028528,SNX1,4,7,1.79874,1.82516,-0.026425,-1.44782
ENSG00000028839,TBPL1,1,5,1.61985,2.13391,-0.514063,-24.0902
ENSG00000030066,NUP160,1,6,0.975028,1.72307,-0.748038,-43.4132
ENSG00000031003,FAM13B,2,7,0.926236,0.474445,0.451791,95.2252
ENSG00000031081,ARHGAP31,1,1,0.518772,0.489945,0.028827,5.88372
ENSG00000031823,RANBP3,1,15,0.404716,1.23426,-0.829542,-67.2098
ENSG00000033011,ALG1,2,10,1.31764,1.2738,0.043837,3.44142
ENSG00000033030,ZCCHC8,4,2,2.81729,1.8281,0.989196,54.1107
ENSG00000033170,FUT8,2,11,1.12445,0.921085,0.203363,22.0786
ENSG00000033627,ATP6V0A1,1,13,0.952122,1.28337,-0.331251,-25.811
ENSG00000034677,RNF19A,2,3,1.41773,1.23934,0.178397,14.3946
ENSG00000035403,VCL,1,2,2.94451,1.87761,1.06691,56.8227
ENSG00000035499,DEPDC1B,1,3,0.362012,1.95877,-1.59676,-81.5184
ENSG00000037241,RPL26L1,1,5,0.587282,0.539667,0.047615,8.82303
ENSG00000037749,MFAP3,4,4,1.88703,2.84776,-0.960726,-33.7363
ENSG00000038219,BOD1L1,1,2,3.69114,3.43932,0.251816,7.32169
ENSG00000038274,MAT2B,3,18,6.59454,4.81698,1.77757,36.9021
ENSG00000039123,MTREX,1,3,15.8392,4.26965,11.5695,270.971
ENSG00000039319,ZFYVE16,2,5,5.45768,3.51357,1.94411,55.3313
ENSG00000039560,RAI14,1,17,1.19333,1.10209,0.091238,8.27864
ENSG00000040199,PHLPP2,3,2,0.373959,0.623851,-0.249892,-40.0563
ENSG00000040487,SLC66A1,4,2,1.15458,0.749731,0.404845,53.9987
ENSG00000040531,CTNS,2,9,1.23734,1.12062,0.116721,10.4157
ENSG00000041357,PSMA4,1,12,17.8912,4.57421,13.317,291.132
ENSG00000041802,LSG1,1,2,1.1805,1.33326,-0.152762,-11.4578
ENSG00000042088,TDP1,7,8,0.793404,0.831732,-0.0383275,-4.60816
ENSG00000042429,MED17,1,8,2.75517,2.01619,0.73898,36.6523
ENSG00000043093,DCUN1D1,1,7,1.81662,1.96236,-0.145739,-7.42672
ENSG00000043514,TRIT1,2,10,3.17235,2.20524,0.967108,43.8549
ENSG00000044115,CTNNA1,6,26,2.96405,2.39294,0.571107,23.8663
ENSG00000044459,CNTLN,1,1,2.17884,3.58422,-1.40538,-39.2102
ENSG00000044574,HSPA5,2,1,10.4202,6.57091,3.84925,58.5802
ENSG00000046604,DSG2,1,3,1.89926,2.72938,-0.830117,-30.4141
ENSG00000046647,GEMIN8,2,3,2.5073,1.43341,1.07389,74.9183
ENSG00000047315,POLR2B,1,5,3.19216,2.10881,1.08335,51.3725
ENSG00000047849,MAP4,2,11,9.12255,1.02278,8.09977,791.938
ENSG00000048028,USP28,3,5,0.80568,0.841411,-0.035731,-4.24656
ENSG00000048162,NOP16,1,5,3.16774,3.42197,-0.254224,-7.42918
ENSG00000048392,RRM2B,1,6,1.44825,2.91088,-1.46264,-50.2472
ENSG00000048471,SNX29,1,4,1.33224,1.06533,0.266911,25.0543
ENSG00000049245,VAMP3,1,1,2.45579,1.30192,1.15387,88.6284
ENSG00000049541,RFC2,5,7,2.15092,1.1018,1.04912,95.2193
ENSG00000049618,ARID1B,3,18,0.61775,0.4821,0.13565,28.1373
ENSG00000049883,PTCD2,1,1,1.08465,1.39344,-0.308791,-22.1604
ENSG00000050393,MCUR1,2,1,0.88202,0.390498,0.491522,125.871
ENSG00000050405,LIMA1,1,9,2.48209,1.90108,0.581007,30.5619
ENSG00000051108,HERPUD1,1,9,3.39667,1.79143,1.60524,89.6069
ENSG00000051180,RAD51,4,7,1.78325,1.77307,0.0101775,0.574004
ENSG00000051382,PIK3CB,2,7,1.08328,0.973859,0.109422,11.2359
ENSG00000051523,CYBA,2,12,1.74923,2.18475,-0.435515,-19.9344
ENSG00000051620,HEBP2,1,3,16.9128,0.6435,16.2693,2528.25
ENSG00000051825,MPHOSPH9,3,11,0.567067,0.587562,-0.020495,-3.48814
ENSG00000052749,RRP12,1,7,2.88853,1.28947,1.59906,124.009
ENSG00000052802,MSMO1,2,3,2.87724,3.02047,-0.143231,-4.74203
ENSG00000053371,AKR7A2,1,3,0.794156,0.878755,-0.084599,-9.62714
ENSG00000053501,USE1,2,5,1.36182,0.94209,0.419735,44.5535
ENSG00000054282,SDCCAG8,1,2,3.31866,2.62302,0.695632,26.5202
ENSG00000054523,KIF1B,13,4,0.720891,0.498583,0.222308,44.588
ENSG00000054611,TBC1D22A,2,6,0.84438,0.800569,0.0438115,5.47255
ENSG00000054690,PLEKHH1,1,3,1.0205,1.28103,-0.26053,-20.3376
ENSG00000055130,CUL1,1,15,0.981099,1.82267,-0.841574,-46.1725
ENSG00000055163,CYFIP2,2,11,0.330194,0.618572,-0.288378,-46.62
ENSG00000055208,TAB2,2,5,0.685246,0.72751,-0.0422635,-5.80934
ENSG00000055211,GINM1,2,1,1.48121,1.01558,0.465631,45.8489
ENSG00000055332,EIF2AK2,9,1,3.24455,2.69629,0.548257,20.3337
ENSG00000056277,ZNF280C,1,1,1.89469,1.72645,0.168244,9.74511
ENSG00000056586,RC3H2,1,6,0.310496,0.249663,0.060833,24.366
ENSG00000056998,GYG2,2,2,1.08252,1.18082,-0.098293,-8.32415
ENSG00000057252,SOAT1,3,1,2.9765,1.61531,1.36119,84.2679
ENSG00000057704,TMCC3,2,1,0.946524,0.578394,0.36813,63.6468
ENSG00000057757,PITHD1,1,2,1.096,1.65716,-0.561164,-33.863
ENSG00000057935,MTA3,1,8,0.960091,2.2408,-1.28071,-57.1541
ENSG00000058056,USP13,2,51,1.11966,1.41935,-0.299687,-21.1144
ENSG00000058262,SEC61A1,4,9,2.11389,2.54719,-0.433299,-17.0109
ENSG00000058729,RIOK2,1,4,7.11758,5.30244,1.81514,34.2321
ENSG00000059145,UNKL,5,4,0.8985,0.697988,0.200512,28.7271
ENSG00000060339,CCAR1,2,12,3.28985,2.81513,0.474715,16.863
ENSG00000060491,OGFR,1,2,0.566863,0.567878,-0.001015,-0.178736
ENSG00000061337,LZTS1,2,1,0.522643,0.689246,-0.166603,-24.1718
ENSG00000061676,NCKAP1,1,1,6.1472,1.56699,4.58021,292.293
ENSG00000061918,GUCY1B1,2,6,1.82748,1.82118,0.006293,0.345545
ENSG00000061987,MON2,2,6,2.77635,1.78588,0.990472,55.4614
ENSG00000062485,CS,1,21,1.25366,1.09722,0.156436,14.2575
ENSG00000062716,VMP1,1,10,2.12322,1.97606,0.147153,7.44675
ENSG00000062725,APPBP2,1,3,3.69314,1.5669,2.12624,135.697
ENSG00000062822,POLD1,3,9,0.6449,0.628016,0.016884,2.68847
ENSG00000063245,EPN1,1,3,1.59237,0.324789,1.26758,390.28
ENSG00000063322,MED29,4,2,1.16846,1.33339,-0.164927,-12.369
ENSG00000063438,AHRR,2,3,0.603746,0.741024,-0.137278,-18.5255
ENSG00000063761,ADCK1,2,3,0.960102,1.57605,-0.61595,-39.0818
ENSG00000063854,HAGH,1,6,1.80265,0.930665,0.871986,93.695
ENSG00000063978,RNF4,3,9,1.55187,1.28776,0.264113,20.5095
ENSG00000064115,TM7SF3,3,10,0.576196,0.717536,-0.14134,-19.698
ENSG00000064545,TMEM161A,2,7,2.26333,1.68552,0.577803,34.2803
ENSG00000064607,SUGP2,3,8,0.862665,0.844785,0.0178805,2.11658
ENSG00000064651,SLC12A2,2,2,1.29275,1.31293,-0.020175,-1.53664
ENSG00000064666,CNN2,7,3,0.850353,0.83778,0.012573,1.50075
ENSG00000064933,PMS1,1,5,1.71958,1.87753,-0.157951,-8.41271
ENSG00000064995,TAF11,5,1,2.6832,2.44814,0.235053,9.60127
ENSG00000065057,NTHL1,1,6,1.99284,1.82909,0.163756,8.95291
ENSG00000065183,WDR3,1,1,6.25628,1.73792,4.51836,259.987
ENSG00000065243,PKN2,1,4,1.84754,1.48002,0.367515,24.8318
ENSG00000065328,MCM10,2,2,1.65711,1.17806,0.479049,40.6643
ENSG00000065457,ADAT1,3,5,0.26818,0.463965,-0.195785,-42.1982
ENSG00000065526,SPEN,1,3,0.52364,0.209203,0.314437,150.302
ENSG00000065615,CYB5R4,1,1,3.26478,1.55444,1.71033,110.029
ENSG00000065883,CDK13,3,8,1.38713,0.752075,0.635057,84.4405
ENSG00000065911,MTHFD2,11,6,2.77779,2.67855,0.0992395,3.70497
ENSG00000065970,FOXJ2,1,1,0.686661,0.467723,0.218938,46.8093
ENSG00000065978,YBX1,1,2,0.246241,0.132882,0.113359,85.3087
ENSG00000066136,NFYC,4,14,1.31442,1.18618,0.128233,10.8105
ENSG00000066422,ZBTB11,2,4,2.86972,3.05319,-0.18347,-6.00915
ENSG00000066629,EML1,2,15,0.79263,0.861961,-0.069331,-8.0434
ENSG00000066654,THUMPD1,1,3,7.28587,1.8898,5.39608,285.537
ENSG00000066777,ARFGEF1,1,4,1.6702,1.18419,0.486015,41.042
ENSG00000066926,FECH,2,4,3.94516,2.17825,1.76691,81.1162
ENSG00000067182,TNFRSF1A,2,10,0.838959,0.921364,-0.0824055,-8.94385
ENSG00000067208,EVI5,2,1,1.25925,1.28434,-0.0250895,-1.9535
ENSG00000067334,DNTTIP2,1,2,19.2006,5.53501,13.6656,246.894
ENSG00000067365,METTL22,1,4,1.33341,0.790199,0.54321,68.7433
ENSG00000067369,TP53BP1,1,9,1.16441,1.46862,-0.304212,-20.7141
ENSG00000067560,RHOA,3,6,1.9254,1.82997,0.09543,5.21483
ENSG00000067596,DHX8,1,5,1.02134,0.993692,0.027646,2.78215
ENSG00000067900,ROCK1,2,1,2.41585,2.7639,-0.348048,-12.5926
ENSG00000067955,CBFB,4,3,2.64827,2.74957,-0.101295,-3.68405
ENSG00000067992,PDK3,2,1,2.02844,3.24889,-1.22045,-37.5651
ENSG00000068097,HEATR6,1,8,1.14562,1.26406,-0.118448,-9.37041
ENSG00000068305,MEF2A,1,12,0.645866,0.98488,-0.339014,-34.4219
ENSG00000068400,GRIPAP1,1,6,2.61867,1.84309,0.775574,42.08
ENSG00000068489,PRR11,6,2,1.26,6.77232,-5.51233,-81.3949
ENSG00000068654,POLR1A,1,3,1.13131,2.10285,-0.971546,-46.2013
ENSG00000068745,IP6K2,4,20,2.14986,1.61424,0.535623,33.1811
ENSG00000068796,KIF2A,6,7,3.8874,2.48502,1.40238,56.4333
ENSG00000068903,SIRT2,4,8,1.3319,1.23782,0.0940805,7.60051
ENSG00000069329,VPS35,1,3,11.0975,1.32329,9.7742,738.63
ENSG00000069702,TGFBR3,2,4,0.879725,0.8813,-0.0015745,-0.178657
ENSG00000069966,GNB5,2,4,3.13297,1.94735,1.18562,60.8836
ENSG00000070061,ELP1,2,21,2.90161,3.0001,-0.098488,-3.28283
ENSG00000070087,PFN2,1,16,1.15324,2.13864,-0.985407,-46.0763
ENSG00000070214,SLC44A1,3,3,1.07986,0.613368,0.466487,76.0534
ENSG00000070366,SMG6,1,11,0.518847,0.575803,-0.056956,-9.89158
ENSG00000070367,EXOC5,1,3,2.2922,1.14151,1.15068,100.803
ENSG00000070495,JMJD6,1,4,3.2119,1.51721,1.6947,111.699
ENSG00000070756,PABPC1,4,23,3.8188,1.7761,2.0427,115.011
ENSG00000070814,TCOF1,1,15,0.668903,0.608867,0.060036,9.86028
ENSG00000071082,RPL31,1,10,5.41374,1.99766,3.41608,171.004
ENSG00000071127,WDR1,4,10,2.54582,1.66833,0.877491,52.5969
ENSG00000071553,ATP6AP1,1,10,0.832557,1.98645,-1.15389,-58.0882
ENSG00000071655,MBD3,3,5,0.804201,0.366052,0.438149,119.696
ENSG00000071889,FAM3A,1,9,0.538387,0.588523,-0.050136,-8.51895
ENSG00000072041,SLC6A15,2,25,3.72694,3.36522,0.361722,10.7488
ENSG00000072042,RDH11,2,6,1.93393,3.21686,-1.28293,-39.8815
ENSG00000072062,PRKACA,1,9,1.0384,1.56276,-0.524354,-33.5531
ENSG00000072135,PTPN18,2,2,0.453133,0.501119,-0.047985,-9.57558
ENSG00000072210,ALDH3A2,12,15,2.65546,2.37198,0.283483,11.9514
ENSG00000072274,TFRC,3,13,4.80991,4.97241,-0.162493,-3.26789
ENSG00000072364,AFF4,1,3,1.51374,1.42348,0.090257,6.34057
ENSG00000072415,PALS1,1,6,1.74956,1.76154,-0.0119805,-0.680114
ENSG00000072736,NFATC3,1,10,1.48615,1.11055,0.375603,33.8213
ENSG00000072849,DERL2,1,8,1.74718,1.06687,0.680308,63.7669
ENSG00000072864,NDE1,5,12,1.26256,1.18456,0.0780005,6.58474
ENSG00000072958,AP1M1,1,9,7.74644,1.39245,6.35398,456.315
ENSG00000073008,PVR,4,2,1.0766,0.944156,0.132448,14.0282
ENSG00000073536,NLE1,1,5,0.888478,1.3761,-0.487618,-35.4349
ENSG00000073578,SDHA,1,2,17.2845,5.72475,11.5597,201.926
ENSG00000073584,SMARCE1,2,25,2.08107,1.39904,0.682033,48.75
ENSG00000073614,KDM5A,1,4,1.04204,0.646307,0.395736,61.2303
ENSG00000073711,PPP2R3A,1,3,1.17516,1.24456,-0.069406,-5.57674
ENSG00000073803,MAP3K13,1,3,0.278258,0.663924,-0.385666,-58.0889
ENSG00000074201,CLNS1A,1,7,5.25739,2.0589,3.19848,155.349
ENSG00000074319,TSG101,1,3,9.35616,5.44041,3.91575,71.9752
ENSG00000074356,NCBP3,1,2,3.95695,2.09728,1.85967,88.6702
ENSG00000074603,DPP8,2,10,0.561543,0.854209,-0.292666,-34.2616
ENSG00000074696,HACD3,3,6,2.67149,2.27523,0.396261,17.4163
ENSG00000074800,ENO1,1,9,1.86505,2.11585,-0.2508,-11.8534
ENSG00000075089,ACTR6,2,7,4.77115,4.92986,-0.158705,-3.21926
ENSG00000075131,TIPIN,2,3,2.95177,3.02953,-0.0777575,-2.56665
ENSG00000075142,SRI,1,5,4.56372,2.29565,2.26807,98.7986
ENSG00000075151,EIF4G3,1,17,1.50296,1.31872,0.184241,13.9712
ENSG00000075188,NUP37,1,4,7.80988,5.9169,1.89298,31.9927
ENSG00000075234,TTC38,1,5,0.730161,0.921056,-0.190895,-20.7257
ENSG00000075239,ACAT1,3,9,6.73054,5.63647,1.09407,19.4105
ENSG00000075303,SLC25A40,1,3,1.75106,2.16459,-0.413536,-19.1046
ENSG00000075336,TIMM21,2,1,8.97812,2.38389,6.59422,276.616
ENSG00000075340,ADD2,1,10,0.254026,0.529703,-0.275677,-52.0437
ENSG00000075391,RASAL2,1,5,1.66188,1.08229,0.579588,53.5521
ENSG00000075415,SLC25A3,3,8,7.38655,1.43014,5.95641,416.49
ENSG00000075420,FNDC3B,2,4,1.30807,1.44905,-0.140982,-9.72924
ENSG00000075624,ACTB,2,15,1.92514,1.02797,0.897164,87.275
ENSG00000075785,RAB7A,1,14,2.96812,3.42801,-0.459885,-13.4155
ENSG00000076242,MLH1,3,23,2.71497,2.42402,0.290955,12.003
ENSG00000076248,UNG,5,8,3.04137,1.64145,1.39993,85.2859
ENSG00000076351,SLC46A1,2,4,1.91881,1.30543,0.613378,46.9866
ENSG00000076554,TPD52,3,10,3.85372,2.43379,1.41993,58.3423
ENSG00000076685,NT5C2,15,5,2.87336,2.07281,0.800549,38.6215
ENSG00000077254,USP33,4,5,2.33404,2.30837,0.0256725,1.11215
ENSG00000077312,SNRPA,1,6,2.07316,1.97835,0.0948115,4.79246
ENSG00000077549,CAPZB,4,5,9.00241,3.53683,5.46558,154.533
ENSG00000077684,JADE1,1,12,0.592256,0.861565,-0.269309,-31.2582
ENSG00000077721,UBE2A,1,9,2.24368,3.47744,-1.23376,-35.4789
ENSG00000078043,PIAS2,2,5,1.45259,1.06882,0.383771,35.9062
ENSG00000078070,MCCC1,1,9,3.06279,0.868176,2.19462,252.785
ENSG00000078142,PIK3C3,3,3,6.39923,3.1854,3.21383,100.893
ENSG00000078177,N4BP2,3,1,2.25243,1.63221,0.620218,37.9987
ENSG00000078269,SYNJ2,2,5,0.963535,0.534115,0.42942,80.3984
ENSG00000078304,PPP2R5C,2,16,0.679474,1.09091,-0.41144,-37.7152
ENSG00000078369,GNB1,1,5,0.763077,1.41819,-0.655114,-46.1936
ENSG00000078674,PCM1,1,6,2.89371,2.49051,0.403208,16.1898
ENSG00000078699,CBFA2T2,7,1,1.15258,0.974117,0.178466,18.3208
ENSG00000078967,UBE2D4,1,2,0.504147,1.12919,-0.625046,-55.3533
ENSG00000079156,OSBPL6,1,6,1.33393,0.849082,0.484843,57.102
ENSG00000079246,XRCC5,1,3,5.23583,4.71712,0.518707,10.9963
ENSG00000079257,LXN,1,1,2.8239,4.20022,-1.37631,-32.7677
ENSG00000079277,MKNK1,3,13,1.81323,2.15224,-0.339015,-15.7517
ENSG00000079332,SAR1A,3,3,4.86216,2.20217,2.65998,120.789
ENSG00000079387,SENP1,2,3,1.22776,1.13614,0.0916195,8.06409
ENSG00000079616,KIF22,1,20,1.84353,2.06402,-0.220493,-10.6827
ENSG00000079739,PGM1,1,3,1.4412,1.5132,-0.072006,-4.75852
ENSG00000079785,DDX1,1,15,6.91946,5.20867,1.71079,32.845
ENSG00000079950,STX7,1,1,11.7701,3.55816,8.21195,230.792
ENSG00000080189,SLC35C2,2,5,0.94112,0.498802,0.442318,88.6761
ENSG00000080345,RIF1,2,5,2.4888,2.32149,0.167311,7.20704
ENSG00000080603,SRCAP,1,2,0.152859,0.43198,-0.27912,-64.6143
ENSG00000080802,CNOT4,1,6,1.29967,1.24772,0.0519565,4.16413
ENSG00000080824,HSP90AA1,1,5,2.68713,2.14769,0.539435,25.117
ENSG00000080839,RBL1,1,3,1.31619,1.35653,-0.040341,-2.97383
ENSG00000080986,NDC80,2,2,3.61045,5.53811,-1.92766,-34.8072
ENSG00000081014,AP4E1,2,3,1.29806,1.08449,0.213575,19.6936
ENSG00000081026,MAGI3,1,3,0.721787,0.613173,0.108614,17.7134
ENSG00000081059,TCF7,4,3,0.684214,0.730891,-0.0466775,-6.38638
ENSG00000081307,UBA5,2,8,4.50422,3.1467,1.35752,43.141
ENSG00000081320,STK17B,3,2,1.43557,1.82042,-0.384853,-21.1408
ENSG00000081721,DUSP12,1,3,1.28041,0.927393,0.353014,38.0652
ENSG00000081870,IFT25,1,3,3.06723,6.27473,-3.20751,-51.1178
ENSG00000082153,BZW1,1,7,1.1711,2.20765,-1.03654,-46.9524
ENSG00000082212,ME2,3,12,3.71335,2.08685,1.6265,77.9403
ENSG00000082213,C5orf22,2,4,3.87885,1.82668,2.05217,112.344
ENSG00000082269,FAM135A,2,6,0.849524,0.844658,0.004866,0.576091
ENSG00000082397,EPB41L3,1,24,2.26165,1.35959,0.902061,66.3481
ENSG00000082512,TRAF5,2,1,1.57317,1.46508,0.108082,7.37715
ENSG00000082701,GSK3B,1,44,3.55249,1.30969,2.24279,171.246
ENSG00000082781,ITGB5,1,7,0.550278,0.423949,0.126329,29.7982
ENSG00000082805,ERC1,10,8,1.13373,1.55974,-0.426011,-27.3129
ENSG00000082898,XPO1,12,25,2.65033,2.75094,-0.10061,-3.65728
ENSG00000083093,PALB2,3,8,0.96861,0.947048,0.021562,2.27676
ENSG00000083099,LYRM2,2,2,3.32142,11.5333,-8.21187,-71.2015
ENSG00000083123,BCKDHB,1,2,2.40795,1.97318,0.434771,22.034
ENSG00000083168,KAT6A,1,7,1.04548,0.613703,0.431778,70.3562
